Cohort,Outcome,Target_Sensitivity,Sensitivity,Specificity,PPV,FP_count,Cutoff
Retrospective,Hb,0.75,,1.0,,0,inf
Retrospective,Hb,0.8,,1.0,,0,inf
Retrospective,Hb,0.85,,1.0,,0,inf
Retrospective,Hb,0.9,,1.0,,0,inf
Retrospective,PLT,0.75,,1.0,,0,inf
Retrospective,PLT,0.8,,1.0,,0,inf
Retrospective,PLT,0.85,,1.0,,0,inf
Retrospective,PLT,0.9,,1.0,,0,inf
Retrospective,WBC_Neut,0.75,1.0,1.0,1.0,0,0.04269213835169941
Retrospective,WBC_Neut,0.8,1.0,1.0,1.0,0,0.04269213835169941
Retrospective,WBC_Neut,0.85,1.0,1.0,1.0,0,0.04269213835169941
Retrospective,WBC_Neut,0.9,1.0,1.0,1.0,0,0.04269213835169941
